last_name, first_name,fielder_2,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
Garneau, Dustin,572863,2017,1028,3,48.4,7.9,30.9,18.2,61.0,70.9,40.0,50.4,37.6
Stewart, Chris,455755,2017,1151,0,48.4,17.5,33.1,11.4,62.9,66.7,42.1,54.9,31.1
Montero, Miguel,471083,2017,1468,2,48.1,10.2,42.5,14.5,60.2,68.9,27.8,54.1,32.0
Iannetta, Chris,455104,2017,2186,1,48.0,6.7,27.7,11.2,62.3,69.7,33.5,52.9,39.5
Rivera, Rene,425784,2017,2009,3,47.9,12.6,33.9,15.0,62.2,69.9,30.1,52.1,37.7
Cervelli, Francisco,465041,2017,2099,-1,47.9,12.2,16.8,4.3,68.9,60.5,44.7,58.3,29.5
Saltalamacchia, Jarrod,457454,2017,199,0,47.7,0.0,13.3,0.0,69.6,70.7,45.5,51.0,40.0
Lopez, Raffy,607257,2017,596,0,47.7,17.4,32.8,16.7,60.2,79.1,24.6,41.5,41.1
Castillo, Welington,456078,2017,2677,-3,47.5,16.3,22.5,14.3,67.5,70.0,33.2,48.9,30.6
Norris, Derek,519083,2017,1572,1,47.5,7.7,31.8,17.5,63.7,72.0,43.7,54.8,27.9
Graterol, Juan,492802,2017,768,1,47.4,19.7,32.9,21.2,61.8,74.8,36.1,49.2,26.9
Leon, Sandy,506702,2017,2385,-2,47.4,23.5,44.7,24.8,64.5,66.7,29.2,46.0,19.6
Zunino, Mike,572287,2017,3330,6,47.3,15.1,35.6,17.0,62.5,67.0,31.8,54.3,26.6
Castro, Jason,488771,2017,2912,0,47.1,10.6,38.6,22.1,62.8,73.9,27.6,44.1,25.9
Lobaton, Jose,446653,2017,1330,1,47.0,16.9,34.0,7.9,66.7,62.4,34.1,48.4,33.0
Sanchez, Gary,596142,2017,3244,-2,46.8,18.1,47.0,22.1,66.8,73.6,26.3,38.1,22.0
Knapp, Andrew,595284,2017,1573,-3,46.7,16.8,41.6,17.9,68.3,66.4,38.8,37.6,22.2
Realmuto, J.T.,592663,2017,3819,3,46.7,14.5,33.1,10.6,68.8,60.7,39.7,48.6,24.5
Pina, Manny,444489,2017,2533,-5,46.7,20.1,37.1,15.7,69.1,71.0,31.8,40.3,22.5
Gimenez, Chris,460269,2017,1657,0,46.6,18.0,35.4,19.6,62.5,71.3,27.8,43.8,22.7
Smith, Kevan,607345,2017,2174,0,46.5,21.7,46.1,19.4,69.7,67.6,25.6,36.8,22.6
Ramos, Wilson,467092,2017,1637,-1,46.5,21.0,41.9,21.3,71.7,67.0,24.5,37.0,25.5
Gosewisch, Tuffy,488912,2017,254,0,46.5,0.0,28.0,0.0,50.0,54.3,45.5,66.2,25.0
Contreras, Willson,575929,2017,3274,-5,46.0,12.6,29.3,15.7,57.4,69.7,32.4,44.3,33.3
Suzuki, Kurt,435559,2017,2117,-5,46.0,14.5,36.6,17.0,56.0,72.3,25.2,44.0,28.0
Lavarnway, Ryan,543432,2017,116,0,45.7,42.9,33.3,0.0,70.4,56.5,38.5,37.5,11.1
Kelly, Carson,608348,2017,516,0,45.7,12.9,33.3,20.8,74.3,71.1,33.3,46.4,11.8
Narvaez, Omar,553882,2017,2348,-2,45.4,25.6,46.6,18.6,67.6,63.0,24.5,37.7,21.1
Hundley, Nick,460026,2017,2115,-3,45.3,11.3,39.3,13.5,63.0,67.8,29.4,43.7,26.5
Herrmann, Chris,543302,2017,1069,-4,45.3,8.7,27.5,7.8,59.9,71.4,26.1,47.9,36.6
Maxwell, Bruce,622194,2017,1904,-2,45.0,18.6,34.6,17.2,67.6,57.7,40.1,46.5,26.3
Gallagher, Cam,595956,2017,193,0,44.6,9.1,37.5,0.0,81.8,41.4,54.5,50.0,4.5
Chirinos, Robinson,455139,2017,2333,-3,44.3,13.1,36.1,11.8,61.8,67.2,26.5,45.7,28.1
Perez, Salvador,521692,2017,3281,-13,44.0,15.6,33.0,15.2,67.0,57.9,33.6,46.8,19.9
Torrens, Luis,620443,2017,1027,-4,43.9,11.0,33.3,17.5,72.0,56.3,26.6,45.5,18.9
Freitas, David,571679,2017,135,0,43.7,12.5,41.7,0.0,60.6,84.2,8.3,38.1,30.0
Murphy, Tom,608596,2017,214,0,43.5,33.3,35.7,11.1,61.9,65.5,0.0,45.5,28.0
Barnhart, Tucker,571466,2017,3134,-10,43.5,15.2,32.6,12.5,60.0,65.3,33.7,43.3,23.3
Wieters, Matt,446308,2017,3458,-12,43.4,21.4,34.6,15.0,66.0,58.7,27.8,42.9,18.3
Avila, Alex,488671,2017,2160,-6,43.3,19.2,39.8,14.0,66.1,57.2,25.1,40.5,19.1
Turner, Stuart,642156,2017,670,-2,43.3,18.4,36.2,15.2,59.4,63.4,40.0,37.5,22.8
Ellis, A.J.,454560,2017,1071,-3,43.3,16.2,44.5,15.8,67.8,62.6,26.5,39.6,12.1
Rupp, Cameron,519237,2017,2518,-11,43.2,17.4,38.3,18.2,65.1,67.7,19.3,36.5,15.9
Wolters, Tony,547172,2017,2078,-1,43.1,10.0,32.2,14.3,58.3,60.7,31.8,49.7,28.1
Ohlman, Mike,572000,2017,107,0,43.0,16.7,22.2,25.0,45.5,80.0,25.0,54.5,33.3
Centeno, Juan,518542,2017,515,-3,42.9,19.4,32.6,15.0,59.6,53.6,42.1,44.4,25.4
McCann, James,543510,2017,3072,-11,42.6,20.2,38.6,15.0,65.4,60.1,27.0,38.7,15.2
Butera, Drew,460077,2017,1541,-6,42.6,9.3,33.6,8.0,64.7,57.7,36.6,43.4,22.8
Brantly, Rob,542963,2017,132,0,42.4,25.0,26.7,0.0,81.0,84.6,16.7,20.0,21.4
Plawecki, Kevin,608700,2017,801,-3,42.4,21.4,33.8,22.7,62.4,63.1,21.3,38.8,29.8
Alfaro, Jorge,595751,2017,849,-4,42.2,16.9,55.1,18.4,61.1,66.9,17.1,27.7,10.5
Lucroy, Jonathan,518960,2017,3207,-11,41.6,14.6,25.9,10.2,58.2,61.2,29.1,44.5,24.9
Garver, Mitch,641598,2017,183,-1,41.5,28.6,41.4,36.4,71.9,53.2,14.3,21.9,9.1
Mesoraco, Devin,519023,2017,1100,-5,41.4,13.8,34.3,12.8,63.6,53.5,24.7,45.4,18.6
Ruiz, Carlos,434563,2017,1195,-5,41.3,15.5,15.6,14.3,61.9,52.8,26.8,51.0,20.7
Sanchez, Hector,516949,2017,531,-2,41.2,20.0,33.3,16.1,60.4,60.2,17.2,32.7,29.5
Diaz, Elias,553869,2017,1454,-8,40.8,20.6,35.3,10.6,70.1,50.8,30.2,39.0,14.0
Hanigan, Ryan,452672,2017,918,-3,40.4,23.7,51.7,20.0,57.1,48.8,25.4,38.9,7.6
Caratini, Victor,605170,2017,238,0,40.3,8.3,22.2,11.1,55.0,62.0,42.9,39.6,24.2
Soto, Geovany,434567,2017,363,-1,39.9,10.5,6.9,9.5,44.7,60.3,20.8,59.0,23.3
Sisco, Chance,642082,2017,123,0,39.0,27.3,12.5,0.0,69.2,43.8,28.6,43.3,25.0
Holaday, Bryan,592407,2017,212,-1,38.2,0.0,38.9,0.0,58.3,62.5,16.0,35.3,5.9
Severino, Pedro,600474,2017,201,0,37.8,27.3,36.8,23.1,68.3,46.4,23.5,31.9,12.0
Nicholas, Brett,592592,2017,489,-3,35.8,18.8,48.1,16.0,65.1,59.8,2.0,22.0,9.3
Stallings, Jacob,607732,2017,134,0,35.1,9.1,0.0,20.0,71.4,37.5,30.0,38.2,0.0
